timestamp_utc,trial,cluster_size,old_leader,new_leader,new_leader_time_ms,first_successful_put_ms,downtime_ms,failed_puts,successful_puts,leader_polls,notes
2026-06-26T15:58:19.8964978Z,1,5,node-1,node-4,1912,2036,2036,1,1,2,
2026-06-26T16:00:08.0146066Z,2,5,node-4,node-2,1111,1235,1235,1,1,2,
2026-06-26T16:00:31.9214763Z,3,5,node-2,node-3,1109,1231,1231,1,1,2,
2026-06-26T16:00:52.9696339Z,4,5,node-3,node-5,1110,1233,1233,1,1,2,
2026-06-26T16:01:14.0189314Z,5,5,node-5,node-4,1110,1235,1235,1,1,2,
2026-06-26T16:01:33.9282337Z,6,5,node-4,node-3,1112,1235,1235,1,1,2,
2026-06-26T16:01:52.2555022Z,7,5,node-3,node-1,1109,1233,1233,1,1,2,
2026-06-26T16:02:11.1979344Z,8,5,node-1,node-4,1912,7034,7034,5,1,6,
2026-06-26T16:02:46.7351806Z,9,5,node-4,node-2,1110,1234,1234,1,1,2,
2026-06-26T16:03:09.687809Z,10,5,node-2,node-1,1108,1230,1230,1,1,2,
